isRentalCommunity,agent_name,bathrooms,price_per_sqft,street,neighborhood,city,listing_id,state_code,isSrpFeatured,apt_number,isRental,state,latitude,location_Id,zip_code,status,build_year,price,bedrooms,address,house_type,hasStreetView,neighborhood_ID,street_number,url,sqft,dmaId,longitude,partial_bathrooms,type_house,siteID,isForeclosure,type_display
False,Len Stone Group,1,907.2727,Park St,Bernal Heights,San Francisco,3259920988,CA,False,,False,California,37.736572,77519,94110,Pending,1924,998000,2,"375 Park Street, San Francisco, CA",Single-Family Home,-1,1391,375,https://www.trulia.com/property/3259920988-375-Park-St-San-Francisco-CA-94110,1100,37,-122.41737,0,SINGLE-FAMILY HOME,1919922609,False,Single-Family Home
False,Osman Dost,2,1196.0432,Long Bridge St,Mission Bay,San Francisco,3259262710,CA,True,1107,False,California,37.7717,77549,94158,For Sale,2016,1995000,3,"718 Long Bridge Street #1107, San Francisco, CA",Condo,-1,1437,718,https://www.trulia.com/property/3259262710-718-Long-Bridge-St-1107-San-Francisco-CA-94158,1668,37,-122.3939,,CONDO,2275329571,False,Condo
False,Greg Fulford,2,893.9243,5th Ave,Inner Sunset,San Francisco,3259370010,CA,False,,False,California,37.76561,77530,94122,Pending,,1795000,3,"1219 5th Avenue, San Francisco, CA",Condo,-1,1424,1219,https://www.trulia.com/property/3259370010-1219-5th-Ave-San-Francisco-CA-94122,2008,37,-122.462456,,CONDO,205608772,False,Condo
False,Judymarrocco,4,0,22nd St,Noe Valley,San Francisco,1090267539,CA,False,,False,California,37.75467,77522,94114,For Sale,1907,2249000,4,"3900-3902 22nd Street, San Francisco, CA",Single-Family Home,-1,1443,3900-3902,https://www.trulia.com/property/1090267539-3900-3902-22nd-St-San-Francisco-CA-94114,,37,-122.43459,,SINGLE-FAMILY HOME,205416624,False,Single-Family Home
False,Kim Barnes,3,1796.2963,Filbert St,Cow Hollow,San Francisco,1092327990,CA,False,,False,California,37.796963,77531,94123,For Sale,,4850000,4,"2830 Filbert Street, San Francisco, CA",Single-Family Home,-1,1401,2830,https://www.trulia.com/property/1092327990-2830-Filbert-St-San-Francisco-CA-94123,2700,37,-122.44624,1,SINGLE-FAMILY HOME,2275519593,False,Single-Family Home
False,Joseph Marko,3,0,27th St,Noe Valley,San Francisco,6373567,CA,False,,False,California,37.74656,77539,94131,For Sale,,3895000,3,"389 27th Street, San Francisco, CA",Single-Family Home,-1,1443,389,https://www.trulia.com/property/6373567-389-27th-St-San-Francisco-CA-94131,,37,-122.42871,,SINGLE-FAMILY HOME,1092275711,False,Single-Family Home
False,Isabelle Grotte,2,542.4304,Shafter Ave,Bayview,San Francisco,5194779,CA,True,,False,California,37.73077,77532,94124,Pending,1951,799000,4,"1554 Shafter Avenue, San Francisco, CA",Single-Family Home,-1,1390,1554,https://www.trulia.com/property/5194779-1554-Shafter-Ave-San-Francisco-CA-94124,1473,37,-122.38972,,SINGLE-FAMILY HOME,2275329571,False,Single-Family Home
False,Alexander Lurie,3,0,Pine St,Lower Pacific Heights,San Francisco,1096180005,CA,False,,False,California,37.787834,77523,94115,Pending,1900,2399000,6,"2255-2257 Pine Street, San Francisco, CA",Multi-Family Home,-1,1430,2255-2257,https://www.trulia.com/property/1096180005-2255-2257-Pine-St-San-Francisco-CA-94115,,37,-122.432915,,MULTI-FAMILY,205416624,False,Multi-Family Home
False,Matthew Duffy,1,821.87805,Gardenside Dr,Twin Peaks,San Francisco,3062875758,CA,False,9,False,California,37.754333,77539,94131,For Sale,1981,849000,2,"145 Gardenside Drive #9, San Francisco, CA",Condo,-1,1470,145,https://www.trulia.com/property/3062875758-145-Gardenside-Dr-9-San-Francisco-CA-94131,1033,37,-122.444984,,CONDO,598440701,False,Condo
False, Jkgumina,1,838.1877,35th Ave,Central Sunset,San Francisco,3225206425,CA,False,,False,California,37.755993,77530,94122,Pending,1945,1295000,3,"1666 35th Avenue, San Francisco, CA",Single-Family Home,-1,1396,1666,https://www.trulia.com/property/3225206425-1666-35th-Ave-San-Francisco-CA-94122,1545,37,-122.49346,,SINGLE-FAMILY HOME,205607618,False,Single-Family Home
